route,airline,departure_point,arrival_point,aircraft_model,departure_time,arrival_time
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,07.03.2025 06:30,07.03.2025 07:45
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,09.03.2025 06:30,09.03.2025 07:45
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,10.03.2025 06:30,10.03.2025 07:45
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,11.03.2025 06:30,11.03.2025 07:45
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,12.03.2025 06:30,12.03.2025 07:45
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,13.03.2025 06:30,13.03.2025 07:45
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,14.03.2025 06:30,14.03.2025 07:45
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,16.03.2025 06:30,16.03.2025 07:45
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,17.03.2025 06:30,17.03.2025 07:45
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,18.03.2025 06:30,18.03.2025 07:45
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,19.03.2025 06:30,19.03.2025 07:45
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,20.03.2025 06:30,20.03.2025 07:45
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,21.03.2025 06:30,21.03.2025 07:45
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,23.03.2025 06:30,23.03.2025 07:45
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,24.03.2025 06:30,24.03.2025 07:45
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,25.03.2025 06:30,25.03.2025 07:45
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,26.03.2025 06:30,26.03.2025 07:45
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,27.03.2025 06:30,27.03.2025 07:45
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,28.03.2025 06:30,28.03.2025 07:45
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,30.03.2025 06:30,30.03.2025 07:45
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,31.03.2025 06:25,31.03.2025 07:40
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,01.04.2025 06:25,01.04.2025 07:40
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,02.04.2025 06:25,02.04.2025 07:40
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,03.04.2025 06:25,03.04.2025 07:40
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,04.04.2025 06:25,04.04.2025 07:40
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,05.04.2025 06:25,05.04.2025 07:40
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,06.04.2025 06:25,06.04.2025 07:40
S7 5313,S7,"Новосибирск, OVB","Абакан, ABA",Embraer RJ170,08.03.2025 14:00,08.03.2025 15:15
S7 5363,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,30.03.2025 18:00,30.03.2025 17:30
S7 5363,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,01.04.2025 18:00,01.04.2025 17:30
S7 5363,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,04.04.2025 18:00,04.04.2025 17:30
S7 5363,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,08.04.2025 18:00,08.04.2025 17:30
S7 5363,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,11.04.2025 18:00,11.04.2025 17:30
S7 5363,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,15.04.2025 18:00,15.04.2025 17:30
S7 5363,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,18.04.2025 18:00,18.04.2025 17:30
S7 5363,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,22.04.2025 18:00,22.04.2025 17:30
S7 5363,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,25.04.2025 18:00,25.04.2025 17:30
S7 5363,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,29.04.2025 18:00,29.04.2025 17:30
S7 5363,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,07.03.2025 07:10,07.03.2025 06:45
S7 5329,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,09.03.2025 22:05,09.03.2025 21:40
S7 5329,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,16.03.2025 22:05,16.03.2025 21:40
S7 5329,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,06.04.2025 18:00,06.04.2025 17:30
S7 5329,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,07.03.2025 07:10,07.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,06.03.2025 07:10,06.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,07.03.2025 07:10,07.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,08.03.2025 07:10,08.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,09.03.2025 07:10,09.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,10.03.2025 07:10,10.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,11.03.2025 07:10,11.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,12.03.2025 07:10,12.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,13.03.2025 07:10,13.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,14.03.2025 07:10,14.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,15.03.2025 07:10,15.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,16.03.2025 07:10,16.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,17.03.2025 07:10,17.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,18.03.2025 07:10,18.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,19.03.2025 07:10,19.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,20.03.2025 07:10,20.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,21.03.2025 07:10,21.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,22.03.2025 07:10,22.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,23.03.2025 07:10,23.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,24.03.2025 07:10,24.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,25.03.2025 07:10,25.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,26.03.2025 07:10,26.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,27.03.2025 07:10,27.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,28.03.2025 07:10,28.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,29.03.2025 07:10,29.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,30.03.2025 07:15,30.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,31.03.2025 07:15,31.03.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,01.04.2025 07:15,01.04.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,02.04.2025 07:15,02.04.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,03.04.2025 07:15,03.04.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,04.04.2025 07:15,04.04.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,05.04.2025 07:15,05.04.2025 06:45
S7 5327,S7,"Новосибирск, OVB","Нижневартовск, NJC",Embraer RJ170,07.03.2025 07:10,07.03.2025 06:45
S7 5245,S7,"Новосибирск, OVB","Нерюнгри, NER",Boeing 737-800,07.03.2025 02:25,07.03.2025 08:05
