route,airline,departure_point,arrival_point,aircraft_model,business_seats,economy_seats,departure_time,arrival_time
FV6722,Rossiya,АЛМАТЫ,КРАСНОЯРСК,AIRBUS INDUSTRIE A319,8,120,08.03.2025 23:45,09.03.2025 04:30
FV6532,Rossiya,АЛМАТЫ,САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A319,8,120,09.03.2025 10:25,09.03.2025 13:40
FV6284,Rossiya,ЮЖНО-САХАЛИНСК (ХОМУТОВО),МОСКВА (ШЕРЕМЕТЬЕВО),BOEING 777-300ER,21,436,10.03.2025 11:15,10.03.2025 12:05
FV5966,Rossiya,ШАРМ-ЭЛЬ-ШЕЙХ,НИЖНИЙ НОВГОРОД (СТРИГИНО),BOEING 737-800,0,189,08.03.2025 14:55,08.03.2025 22:00
FV5570,Rossiya,ШАРМ-ЭЛЬ-ШЕЙХ,ЕКАТЕРИНБУРГ (КОЛЬЦОВО),BOEING 737-800,0,189,09.03.2025 06:25,09.03.2025 15:35
FV5556,Rossiya,ШАРМ-ЭЛЬ-ШЕЙХ,МОСКВА (ШЕРЕМЕТЬЕВО),BOEING 737-800,0,189,09.03.2025 12:25,09.03.2025 19:35
FV5576,Rossiya,ШАРМ-ЭЛЬ-ШЕЙХ,УФА,BOEING 737-800,0,189,09.03.2025 22:20,10.03.2025 07:05
FV6648,Rossiya,ШАНХАЙ (ПУ ДОНГ),ВЛАДИВОСТОК (КНЕВИЧИ),Sukhoi Superjet-100-95B,12,75,10.03.2025 02:05,10.03.2025 07:10
FV6820,Rossiya,ЧИТА (КАДАЛА),КРАСНОЯРСК,Sukhoi Superjet-100-95N,0,100,09.03.2025 17:15,09.03.2025 17:40
FV6462,Rossiya,ЧЕЛЯБИНСК (БАЛАНДИНО),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A319,8,120,09.03.2025 06:15,09.03.2025 07:20
FV6462,Rossiya,ЧЕЛЯБИНСК (БАЛАНДИНО),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A319,8,120,10.03.2025 06:15,10.03.2025 07:20
FV5554,Rossiya,ХУРГАДА,МОСКВА (ШЕРЕМЕТЬЕВО),BOEING 737-800,0,189,08.03.2025 20:30,09.03.2025 03:55
FV5564,Rossiya,ХУРГАДА,САМАРА (КУРУМОЧ),BOEING 737-800,0,189,08.03.2025 22:00,09.03.2025 05:40
FV5980,Rossiya,ХУРГАДА,НИЖНИЙ НОВГОРОД (СТРИГИНО),BOEING 737-800,0,189,09.03.2025 15:15,09.03.2025 22:20
FV6646,Rossiya,ХАРБИН,ВЛАДИВОСТОК (КНЕВИЧИ),Sukhoi Superjet-100-95B,12,75,10.03.2025 06:40,10.03.2025 10:05
FV6288,Rossiya,ХАБАРОВСК (НОВЫЙ),МОСКВА (ШЕРЕМЕТЬЕВО),BOEING 777-300,18,355,09.03.2025 11:25,09.03.2025 12:45
FV2477,Rossiya,ХАБАРОВСК (НОВЫЙ),БЛАГОВЕЩЕНСК (ИГНАТЬЕВО),Sukhoi Superjet-100-95B,12,75,09.03.2025 13:30,09.03.2025 14:10
FV6288,Rossiya,ХАБАРОВСК (НОВЫЙ),МОСКВА (ШЕРЕМЕТЬЕВО),BOEING 777-300,18,355,10.03.2025 11:25,10.03.2025 12:45
FV6412,Rossiya,УФА,САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),Sukhoi Superjet-100-95B,12,75,09.03.2025 06:05,09.03.2025 06:50
FV6414,Rossiya,УФА,САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),Sukhoi Superjet-100-95B,12,75,09.03.2025 23:00,09.03.2025 23:55
FV6412,Rossiya,УФА,САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A319,8,120,10.03.2025 06:05,10.03.2025 06:50
FV5575,Rossiya,УФА,ШАРМ-ЭЛЬ-ШЕЙХ,BOEING 737-800,0,189,10.03.2025 08:35,10.03.2025 11:55
FV6080,Rossiya,УЛЬЯНОВСК (БАРАТАЕВКА),МОСКВА (ШЕРЕМЕТЬЕВО),Sukhoi Superjet-100-95B,12,75,09.03.2025 07:20,09.03.2025 07:55
FV6076,Rossiya,УЛЬЯНОВСК (БАРАТАЕВКА),МОСКВА (ШЕРЕМЕТЬЕВО),Sukhoi Superjet-100-95B,12,75,09.03.2025 14:30,09.03.2025 15:00
FV2452,Rossiya,УЛАН-УДЭ,КРАСНОЯРСК,AIRBUS INDUSTRIE A319,8,120,09.03.2025 13:20,09.03.2025 14:20
FV6906,Rossiya,ТЮМЕНЬ (РОЩИНО),КРАСНОЯРСК,Sukhoi Superjet-100-95N,0,100,09.03.2025 01:35,09.03.2025 06:25
